location,displayName
"{'latitude': 25.773726999999997, 'longitude': -80.19562499999999}","{'text': 'SW 1 Av & SW 1 St - (Miami Bus Terminal)', 'languageCode': 'en'}"
"{'latitude': 25.562824, 'longitude': -80.385978}","{'text': 'Busway & SW 220 St', 'languageCode': 'en'}"
"{'latitude': 25.84768, 'longitude': -80.186588}","{'text': 'NW 79 St & NW 5 Av', 'languageCode': 'en'}"
"{'latitude': 25.795305, 'longitude': -80.25866789999999}","{'text': 'Miami Intermodal Center', 'languageCode': 'en'}"
"{'latitude': 25.782036, 'longitude': -80.1959249}","{'text': 'Terminal Brightline Buses', 'languageCode': 'en'}"
"{'latitude': 26.154079, 'longitude': -80.328926}","{'text': 'BB&T Park & Ride', 'languageCode': 'en'}"
"{'latitude': 26.0397, 'longitude': -80.23558}","{'text': 'Davie Rd Ext & Pershing St - (Driftwood T)', 'languageCode': 'en'}"
"{'latitude': 25.603476999999998, 'longitude': -80.3531371}","{'text': 'Busway & W Indigo St', 'languageCode': 'en'}"
"{'latitude': 25.84768, 'longitude': -80.186588}","{'text': 'NW 79 St & NW 5 Av', 'languageCode': 'en'}"
"{'latitude': 25.797177400000002, 'longitude': -80.2586058}","{'text': 'Miami Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.735386, 'longitude': -80.25393}","{'text': 'SW 37 Av & Bird Rd', 'languageCode': 'en'}"
"{'latitude': 25.562824, 'longitude': -80.385978}","{'text': 'Busway & SW 220 St', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.4618, 'longitude': -80.482258}","{'text': 'Busway & SW 328 St', 'languageCode': 'en'}"
"{'latitude': 25.795305, 'longitude': -80.25866789999999}","{'text': 'Miami Intermodal Center', 'languageCode': 'en'}"
"{'latitude': 25.7973461, 'longitude': -80.2573395}","{'text': 'Greyhound: Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.797177400000002, 'longitude': -80.2586058}","{'text': 'Miami Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.795305, 'longitude': -80.25866789999999}","{'text': 'Miami Intermodal Center', 'languageCode': 'en'}"
"{'latitude': 25.84768, 'longitude': -80.186588}","{'text': 'NW 79 St & NW 5 Av', 'languageCode': 'en'}"
"{'latitude': 25.888931, 'longitude': -80.21096299999999}","{'text': 'NW 7 Av & NW 125 St', 'languageCode': 'en'}"
"{'latitude': 25.6188464, 'longitude': -80.41797}","{'text': 'Bust Stop 137', 'languageCode': 'en'}"
"{'latitude': 25.797177400000002, 'longitude': -80.2586058}","{'text': 'Miami Bus Station', 'languageCode': 'en'}"
"{'latitude': 25.809713, 'longitude': -80.33667299999999}","{'text': 'NW 36 St & 87 Av', 'languageCode': 'en'}"
